window_type, window_start, trigger_ts, num_flights, latency_ms, throughput_rps
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1363, 119, 0.0631018519
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1363, 121, 0.0631018519
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1363, 122, 0.0631018519
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1363, 88, 0.0631018519
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1363, 120, 0.0631018519
global, 2025-01-01 00:00:00, 2025-01-01 06:00:00, 1363, 121, 0.0631018519
6h, 2025-01-01 01:00:00, 2025-01-01 07:00:00, 1459, 281, 0.0675462963
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 2560, 47, 0.0888888889
6h, 2025-01-01 02:00:00, 2025-01-01 08:00:00, 2514, 252, 0.1163888889
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 3605, 22, 0.1251736111
1h, 2025-01-01 07:00:00, 2025-01-01 08:00:00, 1063, 244, 0.2952777778
6h, 2025-01-01 04:00:00, 2025-01-01 10:00:00, 4664, 68, 0.2159259259
6h, 2025-01-01 03:00:00, 2025-01-01 09:00:00, 3676, 213, 0.1701851852
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 4860, 28, 0.1350000000
1h, 2025-01-01 08:00:00, 2025-01-01 09:00:00, 1168, 199, 0.3244444444
1h, 2025-01-01 09:00:00, 2025-01-01 10:00:00, 992, 53, 0.2755555556
global, 2025-01-01 00:00:00, 2025-01-01 11:00:00, 5887, 21, 0.1486616162
6h, 2025-01-01 06:00:00, 2025-01-01 12:00:00, 6425, 79, 0.2974537037
6h, 2025-01-01 05:00:00, 2025-01-01 11:00:00, 5677, 259, 0.2628240741
1h, 2025-01-01 10:00:00, 2025-01-01 11:00:00, 1016, 247, 0.2822222222
1h, 2025-01-01 11:00:00, 2025-01-01 12:00:00, 1148, 65, 0.3188888889
global, 2025-01-01 00:00:00, 2025-01-01 12:00:00, 7158, 22, 0.1656944444
global, 2025-01-01 00:00:00, 2025-01-01 12:00:00, 7158, 26, 0.1656944444
6h, 2025-01-01 07:00:00, 2025-01-01 13:00:00, 6430, 95, 0.2976851852
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 8275, 40, 0.1768162393
1h, 2025-01-01 12:00:00, 2025-01-01 13:00:00, 1043, 86, 0.2897222222
6h, 2025-01-01 08:00:00, 2025-01-01 14:00:00, 6390, 137, 0.2958333333
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9742, 33, 0.1932936508
1h, 2025-01-01 13:00:00, 2025-01-01 14:00:00, 1023, 127, 0.2841666667
6h, 2025-01-01 10:00:00, 2025-01-01 16:00:00, 6244, 69, 0.2890740741
6h, 2025-01-01 09:00:00, 2025-01-01 15:00:00, 6277, 201, 0.2906018519
1h, 2025-01-01 14:00:00, 2025-01-01 15:00:00, 1055, 190, 0.2930555556
global, 2025-01-01 00:00:00, 2025-01-01 16:00:00, 11232, 25, 0.1950000000
global, 2025-01-01 00:00:00, 2025-01-01 16:00:00, 11232, 28, 0.1950000000
1h, 2025-01-01 15:00:00, 2025-01-01 16:00:00, 959, 56, 0.2663888889
6h, 2025-01-01 11:00:00, 2025-01-01 17:00:00, 6271, 122, 0.2903240741
global, 2025-01-01 00:00:00, 2025-01-01 17:00:00, 12540, 28, 0.2049019608
1h, 2025-01-01 16:00:00, 2025-01-01 17:00:00, 1043, 113, 0.2897222222
6h, 2025-01-01 12:00:00, 2025-01-01 18:00:00, 6157, 162, 0.2850462963
global, 2025-01-01 00:00:00, 2025-01-01 18:00:00, 14008, 17, 0.2161728395
