window_type, window_start, trigger_ts, num_flights, latency_ms, throughput_rps
6h, 2025-01-01 01:00:00, 2025-01-01 07:00:00, 1459, 106, 0.0675462963
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2010, 23, 0.0797619048
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 2010, 36, 0.0797619048
6h, 2025-01-01 02:00:00, 2025-01-01 08:00:00, 2514, 110, 0.1163888889
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 2844, 27, 0.0987500000
1h, 2025-01-01 07:00:00, 2025-01-01 08:00:00, 1063, 184, 0.2952777778
6h, 2025-01-01 03:00:00, 2025-01-01 09:00:00, 3676, 383, 0.1701851852
6h, 2025-01-01 04:00:00, 2025-01-01 10:00:00, 4664, 138, 0.2159259259
1h, 2025-01-01 08:00:00, 2025-01-01 09:00:00, 1168, 333, 0.3244444444
1h, 2025-01-01 09:00:00, 2025-01-01 10:00:00, 992, 86, 0.2755555556
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 5081, 71, 0.1411388889
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 5081, 74, 0.1411388889
6h, 2025-01-01 05:00:00, 2025-01-01 11:00:00, 5677, 194, 0.2628240741
1h, 2025-01-01 10:00:00, 2025-01-01 11:00:00, 1016, 125, 0.2822222222
global, 2025-01-01 00:00:00, 2025-01-01 11:00:00, 6448, 84, 0.1628282828
6h, 2025-01-01 06:00:00, 2025-01-01 12:00:00, 6425, 180, 0.2974537037
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 7985, 48, 0.1706196581
1h, 2025-01-01 11:00:00, 2025-01-01 12:00:00, 1148, 139, 0.3188888889
6h, 2025-01-01 07:00:00, 2025-01-01 13:00:00, 6430, 233, 0.2976851852
6h, 2025-01-01 08:00:00, 2025-01-01 14:00:00, 6390, 107, 0.2958333333
1h, 2025-01-01 13:00:00, 2025-01-01 14:00:00, 1023, 84, 0.2841666667
1h, 2025-01-01 12:00:00, 2025-01-01 13:00:00, 1043, 214, 0.2897222222
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9458, 29, 0.1876587302
global, 2025-01-01 00:00:00, 2025-01-01 14:00:00, 9458, 33, 0.1876587302
6h, 2025-01-01 09:00:00, 2025-01-01 15:00:00, 6277, 179, 0.2906018519
1h, 2025-01-01 14:00:00, 2025-01-01 15:00:00, 1055, 104, 0.2930555556
global, 2025-01-01 00:00:00, 2025-01-01 15:00:00, 10529, 97, 0.1949814815
6h, 2025-01-01 10:00:00, 2025-01-01 16:00:00, 6244, 146, 0.2890740741
1h, 2025-01-01 15:00:00, 2025-01-01 16:00:00, 959, 136, 0.2663888889
global, 2025-01-01 00:00:00, 2025-01-01 16:00:00, 11759, 21, 0.2041493056
6h, 2025-01-01 11:00:00, 2025-01-01 17:00:00, 6271, 209, 0.2903240741
6h, 2025-01-01 12:00:00, 2025-01-01 18:00:00, 6157, 83, 0.2850462963
1h, 2025-01-01 16:00:00, 2025-01-01 17:00:00, 1043, 180, 0.2897222222
1h, 2025-01-01 17:00:00, 2025-01-01 18:00:00, 1034, 53, 0.2872222222
global, 2025-01-01 00:00:00, 2025-01-01 18:00:00, 13309, 53, 0.2053858025
global, 2025-01-01 00:00:00, 2025-01-01 18:00:00, 13309, 55, 0.2053858025
6h, 2025-01-01 13:00:00, 2025-01-01 19:00:00, 6160, 124, 0.2851851852
1h, 2025-01-01 18:00:00, 2025-01-01 19:00:00, 1046, 124, 0.2905555556
global, 2025-01-01 00:00:00, 2025-01-01 19:00:00, 14932, 19, 0.2183040936
