window_type, window_start, trigger_ts, num_flights, latency_ms, throughput_rps
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1770, 17, 0.0702380952
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1770, 25, 0.0702380952
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1770, 27, 0.0702380952
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1770, 24, 0.0702380952
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1770, 26, 0.0702380952
global, 2025-01-01 00:00:00, 2025-01-01 07:00:00, 1770, 28, 0.0702380952
6h, 2025-01-01 01:00:00, 2025-01-01 07:00:00, 1459, 395, 0.0675462963
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 2600, 155, 0.0902777778
6h, 2025-01-01 02:00:00, 2025-01-01 08:00:00, 2514, 293, 0.1163888889
1h, 2025-01-01 07:00:00, 2025-01-01 08:00:00, 1063, 259, 0.2952777778
global, 2025-01-01 00:00:00, 2025-01-01 08:00:00, 3358, 74, 0.1165972222
6h, 2025-01-01 03:00:00, 2025-01-01 09:00:00, 3676, 188, 0.1701851852
global, 2025-01-01 00:00:00, 2025-01-01 09:00:00, 4140, 82, 0.1277777778
6h, 2025-01-01 04:00:00, 2025-01-01 10:00:00, 4664, 129, 0.2159259259
1h, 2025-01-01 08:00:00, 2025-01-01 09:00:00, 1168, 158, 0.3244444444
global, 2025-01-01 00:00:00, 2025-01-01 10:00:00, 5401, 27, 0.1500277778
1h, 2025-01-01 09:00:00, 2025-01-01 10:00:00, 992, 128, 0.2755555556
6h, 2025-01-01 05:00:00, 2025-01-01 11:00:00, 5677, 213, 0.2628240741
1h, 2025-01-01 10:00:00, 2025-01-01 11:00:00, 1016, 193, 0.2822222222
global, 2025-01-01 00:00:00, 2025-01-01 12:00:00, 6938, 61, 0.1606018519
6h, 2025-01-01 06:00:00, 2025-01-01 12:00:00, 6425, 279, 0.2974537037
6h, 2025-01-01 07:00:00, 2025-01-01 13:00:00, 6430, 159, 0.2976851852
1h, 2025-01-01 11:00:00, 2025-01-01 12:00:00, 1148, 247, 0.3188888889
1h, 2025-01-01 12:00:00, 2025-01-01 13:00:00, 1043, 125, 0.2897222222
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 8657, 73, 0.1849786325
global, 2025-01-01 00:00:00, 2025-01-01 13:00:00, 8657, 76, 0.1849786325
