window_start, window_end, airline, num_flights, latency_ms, throughput_rpm
2025-01-01 00:00:00, 2025-01-01 01:00:00, DL, 1, 258, 0.0167
2025-01-01 01:00:00, 2025-01-01 02:00:00, DL, 2, 251, 0.0333
2025-01-01 03:00:00, 2025-01-01 04:00:00, DL, 1, 248, 0.0167
2025-01-01 00:00:00, 2025-01-01 01:00:00, AA, 13, 247, 0.2167
2025-01-01 01:00:00, 2025-01-01 02:00:00, AA, 1, 248, 0.0167
2025-01-01 00:00:00, 2025-01-01 01:00:00, UA, 7, 242, 0.1167
2025-01-01 01:00:00, 2025-01-01 02:00:00, UA, 1, 244, 0.0167
2025-01-01 02:00:00, 2025-01-01 03:00:00, UA, 1, 243, 0.0167
2025-01-01 05:00:00, 2025-01-01 06:00:00, DL, 55, 363, 0.9167
2025-01-01 06:00:00, 2025-01-01 07:00:00, DL, 172, 221, 2.8667
2025-01-01 05:00:00, 2025-01-01 06:00:00, AA, 98, 364, 1.6333
2025-01-01 05:00:00, 2025-01-01 06:00:00, WN, 17, 365, 0.2833
2025-01-01 06:00:00, 2025-01-01 07:00:00, WN, 191, 220, 3.1833
2025-01-01 06:00:00, 2025-01-01 07:00:00, AA, 161, 220, 2.6833
2025-01-01 05:00:00, 2025-01-01 06:00:00, UA, 41, 369, 0.6833
2025-01-01 06:00:00, 2025-01-01 07:00:00, UA, 114, 235, 1.9000
2025-01-01 07:00:00, 2025-01-01 08:00:00, DL, 190, 231, 3.1667
2025-01-01 07:00:00, 2025-01-01 08:00:00, WN, 210, 233, 3.5000
2025-01-01 07:00:00, 2025-01-01 08:00:00, AA, 129, 231, 2.1500
2025-01-01 07:00:00, 2025-01-01 08:00:00, UA, 162, 230, 2.7000
2025-01-01 08:00:00, 2025-01-01 09:00:00, DL, 160, 240, 2.6667
2025-01-01 09:00:00, 2025-01-01 10:00:00, DL, 109, 71, 1.8167
2025-01-01 08:00:00, 2025-01-01 09:00:00, WN, 225, 244, 3.7500
2025-01-01 08:00:00, 2025-01-01 09:00:00, AA, 179, 241, 2.9833
2025-01-01 09:00:00, 2025-01-01 10:00:00, WN, 243, 77, 4.0500
2025-01-01 09:00:00, 2025-01-01 10:00:00, AA, 127, 72, 2.1167
2025-01-01 08:00:00, 2025-01-01 09:00:00, UA, 169, 238, 2.8167
2025-01-01 09:00:00, 2025-01-01 10:00:00, UA, 123, 69, 2.0500
2025-01-01 10:00:00, 2025-01-01 11:00:00, DL, 127, 91, 2.1167
2025-01-01 10:00:00, 2025-01-01 11:00:00, WN, 222, 97, 3.7000
2025-01-01 10:00:00, 2025-01-01 11:00:00, AA, 132, 92, 2.2000
2025-01-01 10:00:00, 2025-01-01 11:00:00, UA, 109, 89, 1.8167
2025-01-01 11:00:00, 2025-01-01 12:00:00, DL, 182, 120, 3.0333
2025-01-01 11:00:00, 2025-01-01 12:00:00, AA, 148, 122, 2.4667
2025-01-01 11:00:00, 2025-01-01 12:00:00, WN, 243, 127, 4.0500
2025-01-01 11:00:00, 2025-01-01 12:00:00, UA, 116, 119, 1.9333
2025-01-01 12:00:00, 2025-01-01 13:00:00, DL, 142, 161, 2.3667
2025-01-01 13:00:00, 2025-01-01 14:00:00, DL, 111, 36, 1.8500
2025-01-01 12:00:00, 2025-01-01 13:00:00, AA, 133, 162, 2.2167
2025-01-01 12:00:00, 2025-01-01 13:00:00, WN, 218, 166, 3.6333
2025-01-01 13:00:00, 2025-01-01 14:00:00, WN, 237, 41, 3.9500
2025-01-01 13:00:00, 2025-01-01 14:00:00, AA, 137, 39, 2.2833
2025-01-01 12:00:00, 2025-01-01 13:00:00, UA, 112, 160, 1.8667
2025-01-01 13:00:00, 2025-01-01 14:00:00, UA, 125, 38, 2.0833
2025-01-01 14:00:00, 2025-01-01 15:00:00, DL, 123, 102, 2.0500
2025-01-01 14:00:00, 2025-01-01 15:00:00, WN, 238, 99, 3.9667
2025-01-01 14:00:00, 2025-01-01 15:00:00, AA, 132, 94, 2.2000
2025-01-01 14:00:00, 2025-01-01 15:00:00, UA, 123, 100, 2.0500
2025-01-01 15:00:00, 2025-01-01 16:00:00, DL, 128, 191, 2.1333
2025-01-01 16:00:00, 2025-01-01 17:00:00, DL, 92, 73, 1.5333
2025-01-01 15:00:00, 2025-01-01 16:00:00, AA, 123, 193, 2.0500
2025-01-01 15:00:00, 2025-01-01 16:00:00, WN, 215, 198, 3.5833
2025-01-01 16:00:00, 2025-01-01 17:00:00, WN, 251, 76, 4.1833
2025-01-01 16:00:00, 2025-01-01 17:00:00, AA, 145, 74, 2.4167
2025-01-01 15:00:00, 2025-01-01 16:00:00, UA, 77, 189, 1.2833
2025-01-01 16:00:00, 2025-01-01 17:00:00, UA, 140, 73, 2.3333
2025-01-01 17:00:00, 2025-01-01 18:00:00, DL, 132, 154, 2.2000
2025-01-01 18:00:00, 2025-01-01 19:00:00, DL, 83, 36, 1.3833
2025-01-01 17:00:00, 2025-01-01 18:00:00, WN, 215, 160, 3.5833
2025-01-01 17:00:00, 2025-01-01 18:00:00, AA, 139, 156, 2.3167
2025-01-01 18:00:00, 2025-01-01 19:00:00, WN, 251, 39, 4.1833
2025-01-01 18:00:00, 2025-01-01 19:00:00, AA, 145, 36, 2.4167
2025-01-01 17:00:00, 2025-01-01 18:00:00, UA, 133, 154, 2.2167
2025-01-01 18:00:00, 2025-01-01 19:00:00, UA, 146, 35, 2.4333
2025-01-01 19:00:00, 2025-01-01 20:00:00, DL, 76, 134, 1.2667
2025-01-01 19:00:00, 2025-01-01 20:00:00, WN, 217, 139, 3.6167
2025-01-01 19:00:00, 2025-01-01 20:00:00, AA, 131, 138, 2.1833
2025-01-01 19:00:00, 2025-01-01 20:00:00, UA, 104, 127, 1.7333
2025-01-01 20:00:00, 2025-01-01 21:00:00, DL, 51, 217, 0.8500
2025-01-01 21:00:00, 2025-01-01 22:00:00, DL, 77, 154, 1.2833
2025-01-01 22:00:00, 2025-01-01 23:00:00, DL, 68, 110, 1.1333
2025-01-01 23:00:00, 2025-01-02 00:00:00, DL, 21, 90, 0.3500
2025-01-02 00:00:00, 2025-01-02 01:00:00, DL, 1, 88, 0.0167
2025-01-02 01:00:00, 2025-01-02 02:00:00, DL, 2, 83, 0.0333
2025-01-02 03:00:00, 2025-01-02 04:00:00, DL, 1, 81, 0.0167
2025-01-01 20:00:00, 2025-01-01 21:00:00, AA, 131, 219, 2.1833
2025-01-01 20:00:00, 2025-01-01 21:00:00, WN, 172, 243, 2.8667
2025-01-01 21:00:00, 2025-01-01 22:00:00, WN, 23, 157, 0.3833
2025-01-01 21:00:00, 2025-01-01 22:00:00, AA, 87, 157, 1.4500
2025-01-01 22:00:00, 2025-01-01 23:00:00, AA, 83, 113, 1.3833
2025-01-01 23:00:00, 2025-01-02 00:00:00, AA, 34, 92, 0.5667
2025-01-02 00:00:00, 2025-01-02 01:00:00, AA, 16, 86, 0.2667
2025-01-02 01:00:00, 2025-01-02 02:00:00, AA, 2, 83, 0.0333
2025-01-01 20:00:00, 2025-01-01 21:00:00, UA, 116, 219, 1.9333
2025-01-01 21:00:00, 2025-01-01 22:00:00, UA, 57, 154, 0.9500
2025-01-01 22:00:00, 2025-01-01 23:00:00, UA, 49, 115, 0.8167
2025-01-01 23:00:00, 2025-01-02 00:00:00, UA, 48, 88, 0.8000
2025-01-02 00:00:00, 2025-01-02 01:00:00, UA, 9, 84, 0.1500
2025-01-02 01:00:00, 2025-01-02 02:00:00, UA, 1, 83, 0.0167
2025-01-02 02:00:00, 2025-01-02 03:00:00, UA, 1, 81, 0.0167
2025-01-02 05:00:00, 2025-01-02 06:00:00, DL, 59, 190, 0.9833
2025-01-02 05:00:00, 2025-01-02 06:00:00, WN, 221, 193, 3.6833
2025-01-02 05:00:00, 2025-01-02 06:00:00, AA, 117, 190, 1.9500
2025-01-02 05:00:00, 2025-01-02 06:00:00, UA, 47, 193, 0.7833
2025-01-02 06:00:00, 2025-01-02 07:00:00, DL, 178, 213, 2.9667
2025-01-02 06:00:00, 2025-01-02 07:00:00, AA, 182, 212, 3.0333
2025-01-02 06:00:00, 2025-01-02 07:00:00, WN, 301, 213, 5.0167
2025-01-02 06:00:00, 2025-01-02 07:00:00, UA, 136, 224, 2.2667
2025-01-02 07:00:00, 2025-01-02 08:00:00, DL, 225, 256, 3.7500
2025-01-02 08:00:00, 2025-01-02 09:00:00, DL, 169, 108, 2.8167
2025-01-02 07:00:00, 2025-01-02 08:00:00, WN, 220, 254, 3.6667
2025-01-02 07:00:00, 2025-01-02 08:00:00, AA, 191, 254, 3.1833
2025-01-02 08:00:00, 2025-01-02 09:00:00, AA, 183, 108, 3.0500
2025-01-02 08:00:00, 2025-01-02 09:00:00, WN, 256, 109, 4.2667
2025-01-02 07:00:00, 2025-01-02 08:00:00, UA, 182, 255, 3.0333
2025-01-02 08:00:00, 2025-01-02 09:00:00, UA, 177, 107, 2.9500
2025-01-02 09:00:00, 2025-01-02 10:00:00, DL, 125, 180, 2.0833
2025-01-02 09:00:00, 2025-01-02 10:00:00, WN, 240, 184, 4.0000
2025-01-02 09:00:00, 2025-01-02 10:00:00, AA, 135, 180, 2.2500
2025-01-02 09:00:00, 2025-01-02 10:00:00, UA, 126, 178, 2.1000
2025-01-02 10:00:00, 2025-01-02 11:00:00, DL, 142, 206, 2.3667
2025-01-02 10:00:00, 2025-01-02 11:00:00, AA, 146, 206, 2.4333
2025-01-02 10:00:00, 2025-01-02 11:00:00, WN, 231, 210, 3.8500
2025-01-02 10:00:00, 2025-01-02 11:00:00, UA, 111, 204, 1.8500
2025-01-02 11:00:00, 2025-01-02 12:00:00, DL, 192, 208, 3.2000
2025-01-02 11:00:00, 2025-01-02 12:00:00, AA, 159, 211, 2.6500
2025-01-02 11:00:00, 2025-01-02 12:00:00, WN, 224, 216, 3.7333
2025-01-02 11:00:00, 2025-01-02 12:00:00, UA, 119, 207, 1.9833
2025-01-02 12:00:00, 2025-01-02 13:00:00, DL, 161, 212, 2.6833
2025-01-02 13:00:00, 2025-01-02 14:00:00, DL, 129, 84, 2.1500
2025-01-02 12:00:00, 2025-01-02 13:00:00, AA, 139, 214, 2.3167
2025-01-02 12:00:00, 2025-01-02 13:00:00, WN, 256, 220, 4.2667
2025-01-02 13:00:00, 2025-01-02 14:00:00, WN, 217, 89, 3.6167
2025-01-02 13:00:00, 2025-01-02 14:00:00, AA, 151, 85, 2.5167
2025-01-02 12:00:00, 2025-01-02 13:00:00, UA, 116, 210, 1.9333
2025-01-02 13:00:00, 2025-01-02 14:00:00, UA, 127, 85, 2.1167
2025-01-02 14:00:00, 2025-01-02 15:00:00, DL, 141, 164, 2.3500
2025-01-02 14:00:00, 2025-01-02 15:00:00, WN, 226, 168, 3.7667
2025-01-02 14:00:00, 2025-01-02 15:00:00, AA, 133, 165, 2.2167
2025-01-02 14:00:00, 2025-01-02 15:00:00, UA, 121, 162, 2.0167
2025-01-02 15:00:00, 2025-01-02 16:00:00, DL, 167, 220, 2.7833
2025-01-02 16:00:00, 2025-01-02 17:00:00, DL, 122, 76, 2.0333
2025-01-02 15:00:00, 2025-01-02 16:00:00, AA, 125, 222, 2.0833
2025-01-02 15:00:00, 2025-01-02 16:00:00, WN, 247, 228, 4.1167
2025-01-02 16:00:00, 2025-01-02 17:00:00, WN, 228, 79, 3.8000
2025-01-02 16:00:00, 2025-01-02 17:00:00, AA, 155, 76, 2.5833
2025-01-02 15:00:00, 2025-01-02 16:00:00, UA, 76, 219, 1.2667
2025-01-02 16:00:00, 2025-01-02 17:00:00, UA, 141, 72, 2.3500
2025-01-02 17:00:00, 2025-01-02 18:00:00, DL, 153, 142, 2.5500
2025-01-02 17:00:00, 2025-01-02 18:00:00, WN, 212, 147, 3.5333
2025-01-02 17:00:00, 2025-01-02 18:00:00, AA, 151, 143, 2.5167
2025-01-02 17:00:00, 2025-01-02 18:00:00, UA, 135, 139, 2.2500
2025-01-02 18:00:00, 2025-01-02 19:00:00, DL, 163, 193, 2.7167
2025-01-02 19:00:00, 2025-01-02 20:00:00, DL, 142, 72, 2.3667
2025-01-02 18:00:00, 2025-01-02 19:00:00, AA, 168, 192, 2.8000
2025-01-02 18:00:00, 2025-01-02 19:00:00, WN, 246, 195, 4.1000
2025-01-02 19:00:00, 2025-01-02 20:00:00, WN, 220, 74, 3.6667
2025-01-02 19:00:00, 2025-01-02 20:00:00, AA, 152, 72, 2.5333
2025-01-02 18:00:00, 2025-01-02 19:00:00, UA, 147, 192, 2.4500
2025-01-02 19:00:00, 2025-01-02 20:00:00, UA, 108, 69, 1.8000
2025-01-02 20:00:00, 2025-01-02 21:00:00, DL, 77, 143, 1.2833
2025-01-02 21:00:00, 2025-01-02 22:00:00, DL, 91, 51, 1.5167
2025-01-02 20:00:00, 2025-01-02 21:00:00, WN, 282, 149, 4.7000
2025-01-02 20:00:00, 2025-01-02 21:00:00, AA, 135, 146, 2.2500
2025-01-02 21:00:00, 2025-01-02 22:00:00, WN, 185, 53, 3.0833
2025-01-02 21:00:00, 2025-01-02 22:00:00, AA, 96, 53, 1.6000
2025-01-02 20:00:00, 2025-01-02 21:00:00, UA, 121, 145, 2.0167
2025-01-02 21:00:00, 2025-01-02 22:00:00, UA, 57, 50, 0.9500
2025-01-02 22:00:00, 2025-01-02 23:00:00, DL, 107, 179, 1.7833
2025-01-02 23:00:00, 2025-01-03 00:00:00, DL, 36, 154, 0.6000
2025-01-03 00:00:00, 2025-01-03 01:00:00, DL, 2, 146, 0.0333
2025-01-03 01:00:00, 2025-01-03 02:00:00, DL, 2, 145, 0.0333
2025-01-03 03:00:00, 2025-01-03 04:00:00, DL, 1, 143, 0.0167
2025-01-02 22:00:00, 2025-01-02 23:00:00, WN, 136, 184, 2.2667
2025-01-02 22:00:00, 2025-01-02 23:00:00, AA, 91, 182, 1.5167
2025-01-02 23:00:00, 2025-01-03 00:00:00, AA, 40, 155, 0.6667
2025-01-03 00:00:00, 2025-01-03 01:00:00, AA, 16, 146, 0.2667
2025-01-03 01:00:00, 2025-01-03 02:00:00, AA, 3, 144, 0.0500
2025-01-02 22:00:00, 2025-01-02 23:00:00, UA, 50, 183, 0.8333
2025-01-02 23:00:00, 2025-01-03 00:00:00, UA, 49, 150, 0.8167
2025-01-03 00:00:00, 2025-01-03 01:00:00, UA, 9, 143, 0.1500
2025-01-03 01:00:00, 2025-01-03 02:00:00, UA, 1, 143, 0.0167
2025-01-03 02:00:00, 2025-01-03 03:00:00, UA, 1, 142, 0.0167
2025-01-03 05:00:00, 2025-01-03 06:00:00, DL, 62, 261, 1.0333
2025-01-03 06:00:00, 2025-01-03 07:00:00, DL, 176, 97, 2.9333
2025-01-03 05:00:00, 2025-01-03 06:00:00, AA, 116, 262, 1.9333
2025-01-03 05:00:00, 2025-01-03 06:00:00, WN, 185, 263, 3.0833
2025-01-03 06:00:00, 2025-01-03 07:00:00, AA, 178, 96, 2.9667
2025-01-03 06:00:00, 2025-01-03 07:00:00, WN, 310, 99, 5.1667
2025-01-03 05:00:00, 2025-01-03 06:00:00, UA, 47, 263, 0.7833
2025-01-03 06:00:00, 2025-01-03 07:00:00, UA, 136, 102, 2.2667
2025-01-03 07:00:00, 2025-01-03 08:00:00, DL, 223, 126, 3.7167
2025-01-03 07:00:00, 2025-01-03 08:00:00, WN, 212, 123, 3.5333
2025-01-03 07:00:00, 2025-01-03 08:00:00, AA, 196, 122, 3.2667
2025-01-03 07:00:00, 2025-01-03 08:00:00, UA, 180, 125, 3.0000
2025-01-03 08:00:00, 2025-01-03 09:00:00, DL, 168, 156, 2.8000
2025-01-03 08:00:00, 2025-01-03 09:00:00, AA, 181, 162, 3.0167
2025-01-03 08:00:00, 2025-01-03 09:00:00, WN, 265, 163, 4.4167
2025-01-03 08:00:00, 2025-01-03 09:00:00, UA, 178, 160, 2.9667
2025-01-03 09:00:00, 2025-01-03 10:00:00, DL, 125, 221, 2.0833
2025-01-03 10:00:00, 2025-01-03 11:00:00, DL, 141, 67, 2.3500
2025-01-03 09:00:00, 2025-01-03 10:00:00, AA, 135, 222, 2.2500
2025-01-03 09:00:00, 2025-01-03 10:00:00, WN, 226, 226, 3.7667
2025-01-03 10:00:00, 2025-01-03 11:00:00, WN, 232, 70, 3.8667
2025-01-03 10:00:00, 2025-01-03 11:00:00, AA, 139, 67, 2.3167
2025-01-03 09:00:00, 2025-01-03 10:00:00, UA, 122, 220, 2.0333
2025-01-03 10:00:00, 2025-01-03 11:00:00, UA, 109, 66, 1.8167
2025-01-03 11:00:00, 2025-01-03 12:00:00, DL, 191, 108, 3.1833
2025-01-03 11:00:00, 2025-01-03 12:00:00, WN, 236, 124, 3.9333
2025-01-03 11:00:00, 2025-01-03 12:00:00, AA, 156, 122, 2.6000
2025-01-03 11:00:00, 2025-01-03 12:00:00, UA, 119, 120, 1.9833
2025-01-03 12:00:00, 2025-01-03 13:00:00, DL, 159, 205, 2.6500
2025-01-03 13:00:00, 2025-01-03 14:00:00, DL, 128, 71, 2.1333
2025-01-03 12:00:00, 2025-01-03 13:00:00, AA, 139, 206, 2.3167
2025-01-03 12:00:00, 2025-01-03 13:00:00, WN, 236, 209, 3.9333
2025-01-03 13:00:00, 2025-01-03 14:00:00, WN, 234, 75, 3.9000
2025-01-03 13:00:00, 2025-01-03 14:00:00, AA, 142, 72, 2.3667
2025-01-03 12:00:00, 2025-01-03 13:00:00, UA, 112, 203, 1.8667
2025-01-03 13:00:00, 2025-01-03 14:00:00, UA, 127, 73, 2.1167
2025-01-03 14:00:00, 2025-01-03 15:00:00, DL, 140, 141, 2.3333
2025-01-03 14:00:00, 2025-01-03 15:00:00, WN, 234, 139, 3.9000
2025-01-03 14:00:00, 2025-01-03 15:00:00, AA, 133, 136, 2.2167
2025-01-03 14:00:00, 2025-01-03 15:00:00, UA, 121, 141, 2.0167
2025-01-03 15:00:00, 2025-01-03 16:00:00, DL, 166, 193, 2.7667
2025-01-03 15:00:00, 2025-01-03 16:00:00, AA, 126, 198, 2.1000
2025-01-03 15:00:00, 2025-01-03 16:00:00, WN, 225, 203, 3.7500
2025-01-03 15:00:00, 2025-01-03 16:00:00, UA, 74, 191, 1.2333
2025-01-03 16:00:00, 2025-01-03 17:00:00, DL, 119, 121, 1.9833
2025-01-03 16:00:00, 2025-01-03 17:00:00, AA, 147, 118, 2.4500
2025-01-03 16:00:00, 2025-01-03 17:00:00, WN, 240, 131, 4.0000
2025-01-03 16:00:00, 2025-01-03 17:00:00, UA, 142, 110, 2.3667
2025-01-03 17:00:00, 2025-01-03 18:00:00, UA, 131, 87, 2.1833
2025-01-03 17:00:00, 2025-01-03 18:00:00, DL, 153, 98, 2.5500
2025-01-03 17:00:00, 2025-01-03 18:00:00, AA, 141, 100, 2.3500
2025-01-03 17:00:00, 2025-01-03 18:00:00, WN, 241, 105, 4.0167
2025-01-03 18:00:00, 2025-01-03 19:00:00, DL, 164, 124, 2.7333
2025-01-03 18:00:00, 2025-01-03 19:00:00, AA, 154, 127, 2.5667
2025-01-03 18:00:00, 2025-01-03 19:00:00, WN, 230, 133, 3.8333
2025-01-03 18:00:00, 2025-01-03 19:00:00, UA, 147, 123, 2.4500
2025-01-03 19:00:00, 2025-01-03 20:00:00, DL, 138, 180, 2.3000
2025-01-03 20:00:00, 2025-01-03 21:00:00, DL, 77, 47, 1.2833
2025-01-03 19:00:00, 2025-01-03 20:00:00, AA, 138, 185, 2.3000
2025-01-03 19:00:00, 2025-01-03 20:00:00, WN, 227, 188, 3.7833
2025-01-03 20:00:00, 2025-01-03 21:00:00, WN, 289, 52, 4.8167
2025-01-03 20:00:00, 2025-01-03 21:00:00, AA, 132, 49, 2.2000
2025-01-03 19:00:00, 2025-01-03 20:00:00, UA, 108, 175, 1.8000
2025-01-03 20:00:00, 2025-01-03 21:00:00, UA, 117, 49, 1.9500
2025-01-03 21:00:00, 2025-01-03 22:00:00, DL, 91, 158, 1.5167
2025-01-03 22:00:00, 2025-01-03 23:00:00, DL, 107, 67, 1.7833
2025-01-03 23:00:00, 2025-01-04 00:00:00, DL, 35, 48, 0.5833
